,Unnamed: 0,Unnamed: 0.1,STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF,SND,FT,FB,FTI,ITH,PGT,TSHDSBRSGF,SD3,RHX,RHN,RVG,WTE
0,0,85396,33206,1944-11-26,0,,19.44444444,10.0,14.44444444,0.0,1.0,44,11,26,0,,,67.0,50.0,58.0,0.0,,,,,,,1.0,,,,,
1,1,85397,33206,1944-11-27,0,,19.44444444,9.444444444,14.44444444,0.0,1.0,44,11,27,0,,,67.0,49.0,58.0,0.0,,,,,,,1.0,,,,,
2,2,85398,33206,1944-11-28,0,,18.88888889,11.11111111,15.0,0.0,1.0,44,11,28,0,,,66.0,52.0,59.0,0.0,,,,,,,1.0,,,,,
3,3,85399,33206,1944-11-29,0,,17.77777778,10.0,13.88888889,0.0,1.0,44,11,29,0,,,64.0,50.0,57.0,0.0,,,,,,,1.0,,,,,
4,4,85400,33206,1944-11-30,0,,16.66666667,12.22222222,14.44444444,0.0,1.0,44,11,30,,,,62.0,54.0,58.0,0.0,,,,,,,1.0,,,,,
5,5,85401,33206,1944-12-1,0,,17.22222222,12.22222222,14.44444444,0.0,,44,12,1,0,,,63.0,54.0,58.0,0.0,,,,,,,,,,,,
6,6,85402,33206,1944-12-2,0,,15.0,10.55555556,12.77777778,0.0,,44,12,2,,,,59.0,51.0,55.0,0.0,,,,,,,,,,,,
7,7,85403,33206,1944-12-3,0,,15.55555556,11.11111111,13.33333333,0.0,,44,12,3,0,,,60.0,52.0,56.0,0.0,,,,,,,,,,,,
8,8,85404,33206,1944-12-4,0,,15.55555556,6.666666667,11.11111111,0.0,,44,12,4,0,,,60.0,44.0,52.0,0.0,,,,,,,,,,,,
9,9,85405,33206,1944-12-5,0,,17.22222222,5.555555556,11.11111111,0.0,,44,12,5,0,,,63.0,42.0,52.0,0.0,,,,,,,,,,,,
10,10,85406,33206,1944-12-6,0,,17.77777778,10.0,13.88888889,0.0,,44,12,6,0,,,64.0,50.0,57.0,0.0,,,,,,,,,,,,
11,11,85407,33206,1944-12-7,0,,17.77777778,9.444444444,13.33333333,0.0,,44,12,7,,,,64.0,49.0,56.0,0.0,,,,,,,,,,,,
12,12,85408,33206,1944-12-8,0,,16.66666667,10.55555556,13.33333333,0.0,,44,12,8,,,,62.0,51.0,56.0,0.0,,,,,,,,,,,,
13,13,85409,33206,1944-12-9,0,,19.44444444,8.888888889,14.44444444,0.0,,44,12,9,0,,,67.0,48.0,58.0,0.0,,,,,,,,,,,,
14,14,85410,33206,1944-12-10,0,,18.88888889,13.33333333,16.11111111,0.0,,44,12,10,,,,66.0,56.0,61.0,0.0,,,,,,,,,,,,
15,15,85411,33206,1944-12-11,0,,16.66666667,9.444444444,13.33333333,0.0,,44,12,11,0,,,62.0,49.0,56.0,0.0,,,,,,,,,,,,
16,16,85412,33206,1944-12-12,0,,15.55555556,7.222222222,11.11111111,0.0,,44,12,12,0,,,60.0,45.0,52.0,0.0,,,,,,,,,,,,
17,17,85413,33206,1944-12-13,T,,15.55555556,5.555555556,10.55555556,0.0,,44,12,13,T,,,60.0,42.0,51.0,0.0,,,,,,,,,,,,
18,18,85414,33206,1944-12-14,8.636,,14.44444444,10.0,12.22222222,0.0,1.0,44,12,14,0.34,,,58.0,50.0,54.0,0.0,,,,,,,1.0,,,,,
19,19,85415,33206,1944-12-15,0.762,,13.88888889,8.333333332999999,12.22222222,0.0,1.0,44,12,15,0.03,,,57.0,47.0,54.0,0.0,,,,,,,1.0,,,,,
20,20,85416,33206,1944-12-16,0,,13.88888889,8.888888889,11.11111111,0.0,,44,12,16,0,,,57.0,48.0,52.0,0.0,,,,,,,,,,,,
21,21,85417,33206,1944-12-17,0,,16.66666667,8.333333332999999,12.22222222,0.0,,44,12,17,0,,,62.0,47.0,54.0,0.0,,,,,,,,,,,,
22,22,85418,33206,1944-12-18,0,,13.33333333,7.222222222,10.0,0.0,,44,12,18,0,,,56.0,45.0,50.0,0.0,,,,,,,,,,,,
23,23,85419,33206,1944-12-19,0,,12.77777778,8.888888889,11.11111111,0.0,,44,12,19,0,,,55.0,48.0,52.0,0.0,,,,,,,,,,,,
24,24,85420,33206,1944-12-20,0.508,,11.11111111,7.222222222,8.888888889,0.0,1.0,44,12,20,0.02,,,52.0,45.0,48.0,0.0,,,,,,,1.0,,,,,
25,25,85421,33206,1944-12-21,0,,11.66666667,3.888888889,7.777777778,0.0,,44,12,21,0,,,53.0,39.0,46.0,0.0,,,,,,,,,,,,
26,26,85422,33206,1944-12-22,1.778,,11.11111111,5.0,7.777777778,0.0,1.0,44,12,22,0.07,,,52.0,41.0,46.0,0.0,,,,,,,1.0,,,,,
27,27,85423,33206,1944-12-23,2.794,,11.11111111,7.222222222,8.888888889,0.0,1.0,44,12,23,0.11,,,52.0,45.0,48.0,0.0,,,,,,,1.0,,,,,
28,28,85424,33206,1944-12-24,1.524,,12.22222222,7.222222222,10.0,0.0,1.0,44,12,24,0.06,,,54.0,45.0,50.0,0.0,,,,,,,1.0,,,,,
29,29,85425,33206,1944-12-25,0.254,,8.333333332999999,4.444444444,6.666666667,0.0,1.0,44,12,25,0.01,,,47.0,40.0,44.0,0.0,,,,,,,1.0,,,,,
30,30,85426,33206,1944-12-26,0.254,,8.888888889,4.444444444,6.666666667,0.0,1.0,44,12,26,0.01,,,48.0,40.0,44.0,0.0,,,,,,,1.0,,,,,
31,31,85427,33206,1944-12-27,0.254,,8.333333332999999,3.888888889,6.1111111110000005,0.0,1.0,44,12,27,0.01,,,47.0,39.0,43.0,0.0,,,,,,,1.0,,,,,
32,32,85428,33206,1944-12-28,0,,7.222222222,1.6666666669999999,4.444444444,0.0,,44,12,28,0,,,45.0,35.0,40.0,0.0,,,,,,,,,,,,
33,33,85429,33206,1944-12-29,T,,10.55555556,0.5555555560000001,5.555555556,0.0,1.0,44,12,29,T,,,51.0,33.0,42.0,0.0,,,,,,,1.0,,,,,
34,34,85430,33206,1944-12-30,16.764,,8.333333332999999,3.333333333,5.555555556,0.0,1.0,44,12,30,0.66,,,47.0,38.0,42.0,0.0,,,,,,,1.0,,,,,
35,35,85431,33206,1944-12-31,0,,8.888888889,3.888888889,6.666666667,0.0,,44,12,31,0,,,48.0,39.0,44.0,0.0,,,,,,,,,,,,
36,36,85432,33206,1945-1-1,3.81,,13.88888889,2.777777778,8.333333332999999,0.0,1.0,45,1,1,0.15,,,57.0,37.0,47.0,0.0,,,,,,,1.0,,,,,
37,37,85433,33206,1945-1-2,8.636,,8.333333332999999,3.333333333,5.555555556,0.0,1.0,45,1,2,0.34,,,47.0,38.0,42.0,0.0,,,,,,,1.0,,,,,
38,38,85434,33206,1945-1-3,2.794,,7.777777778,2.222222222,5.0,0.0,1.0,45,1,3,0.11,,,46.0,36.0,41.0,0.0,,,,,,,1.0,,,,,
